24
# x y z
0	0	0
5	0	0
10	0	0
15	0	0
20	0	0
25	0	0
30	0	0
35	0	0
40	0	0
45	0	0
50	0	0
55	0	0
60	0	0
65	0	0
70	0	0
75	0	0
80	0	0
85	0	0
90	0	0
95	0	0
100	0	0
105	0	0
110	0	0
115	0	0
213
# a b m n rhoa err k
1	2	3	4	3.40617262954026e+01	2.00293584650210e-02	-9.42477796076938e+01
21	22	23	24	3.10332475658426e+01	2.00322235047389e-02	-9.42477796076938e+01
2	3	4	5	2.98376084064379e+01	2.00335147504578e-02	-9.42477796076938e+01
2	3	5	6	2.74837549800125e+01	2.00363851300787e-02	-3.76991118430775e+02
2	3	6	7	2.13809743080696e+01	2.00467705533710e-02	-9.42477796076938e+02
2	3	7	8	2.32549374658901e+01	2.00430016206867e-02	-1.88495559215388e+03
2	3	8	9	3.22649745715765e+01	2.00309933608589e-02	-3.29867228626927e+03
4	5	6	7	2.70564483286611e+01	2.00369597660363e-02	-9.42477796076938e+01
4	5	7	8	2.26839519952645e+01	2.00440840291061e-02	-3.76991118430775e+02
4	5	8	9	3.34379869073575e+01	2.00299061065719e-02	-9.42477796076938e+02
4	5	9	10	3.11292620843404e+01	2.00321241151586e-02	-1.88495559215388e+03
4	5	10	11	3.17456305065956e+01	2.00315003981349e-02	-3.29867228626927e+03
6	7	8	9	2.32237449332921e+01	2.00430593774980e-02	-9.42477796076938e+01
6	7	9	10	1.92165624243067e+01	2.00520384436050e-02	-3.76991118430775e+02
6	7	10	11	2.04089067490142e+01	2.00489982149606e-02	-9.42477796076938e+02
6	7	11	12	2.06823121191744e+01	2.00483504936120e-02	-1.88495559215388e+03
6	7	12	13	2.48712287859720e+01	2.00402071006867e-02	-3.29867228626927e+03
1	23	11	13	1.07441467416953e+02	2.00093073933560e-02	9.42477796076937e+02
1	19	9	11	9.47810844467791e+01	2.00105506283858e-02	6.28318530717959e+02
1	15	7	9	7.16450966960121e+01	2.00139576893063e-02	3.76991118430775e+02
1	12	6	7	4.54923338320576e+01	2.00219817256176e-02	4.71238898038469e+02
1	10	5	6	4.62053055218089e+01	2.00216425362565e-02	3.14159265358979e+02
1	8	4	5	3.60300493277191e+01	2.00277546109056e-02	1.88495559215388e+02
1	6	3	4	2.90075667954907e+01	2.00344737635890e-02	9.42477796076938e+01
1	4	2	3	3.21977704963585e+01	2.00310580510571e-02	3.14159265358979e+01
2	11	6	7	3.75518884741294e+01	2.00266298191818e-02	3.14159265358979e+02
2	9	5	6	3.94683277173821e+01	2.00253367714781e-02	1.88495559215388e+02
2	7	4	5	2.97113076391290e+01	2.00336572194043e-02	9.42477796076938e+01
2	5	3	4	3.21912056274338e+01	2.00310643848377e-02	3.14159265358979e+01
19	24	21	22	5.38598351019433e+01	2.00185667111328e-02	9.42477796076938e+01
20	23	21	22	4.00538063867652e+01	2.00249664161839e-02	3.14159265358979e+01
3	21	11	13	9.12744454014350e+01	2.00109559690623e-02	6.28318530717959e+02
3	17	9	11	7.33720777045625e+01	2.00136291629089e-02	3.76991118430775e+02
3	14	8	9	6.14086917927921e+01	2.00162843397377e-02	4.71238898038469e+02
3	12	7	8	4.44394796428094e+01	2.00225025137116e-02	3.14159265358979e+02
3	10	6	7	3.09563408777138e+01	2.00323035595179e-02	1.88495559215388e+02
3	8	5	6	3.52167831242161e+01	2.00283955521001e-02	9.42477796076938e+01
3	6	4	5	2.89205121221998e+01	2.00345775343042e-02	3.14159265358979e+01
4	13	8	9	5.20271290324398e+01	2.00192207415361e-02	3.14159265358979e+02
4	11	7	8	3.58210996689675e+01	2.00279165075679e-02	1.88495559215388e+02
4	9	6	7	2.62473242567027e+01	2.00380991216560e-02	9.42477796076938e+01
4	7	5	6	3.15370948958860e+01	2.00317086910922e-02	3.14159265358979e+01
19	22	20	21	3.92690705064381e+01	2.00254653340938e-02	3.14159265358979e+01
5	23	13	15	1.00821427795821e+02	2.00099185264667e-02	6.28318530717959e+02
5	19	11	13	7.34622251916431e+01	2.00136124381938e-02	3.76991118430775e+02
5	16	10	11	6.04335947145855e+01	2.00165470878362e-02	4.71238898038469e+02
5	14	9	10	4.95163737453391e+01	2.00201953399323e-02	3.14159265358979e+02
5	12	8	9	4.31544669548172e+01	2.00231725721707e-02	1.88495559215388e+02
5	10	7	8	2.95676611825982e+01	2.00338207338695e-02	9.42477796076938e+01
5	8	6	7	2.55468895564346e+01	2.00391437085830e-02	3.14159265358979e+01
6	15	10	11	5.22148235239741e+01	2.00191516495223e-02	3.14159265358979e+02
6	13	9	10	4.23271693978592e+01	2.00236254872278e-02	1.88495559215388e+02
6	11	8	9	3.55972626986055e+01	2.00280920476517e-02	9.42477796076938e+01
6	9	7	8	2.69966356252668e+01	2.00370416526667e-02	3.14159265358979e+01
7	21	13	15	8.29994898424571e+01	2.00120482668255e-02	3.76991118430775e+02
